0, EVT, 4
42, ALTE, 844
42, VELE, 558
42, ALTF, 3594
92, ALTE, 1055
92, VELE, 686
92, ALTF, 3444
142, ALTE, 1247
142, VELE, 795
142, ALTF, 3294
192, ALTE, 1420
192, VELE, 889
192, ALTF, 3144
242, ALTE, 1584
242, VELE, 972
242, ALTF, 3387
292, ALTE, 1797
292, VELE, 1087
292, ALTF, 4387
342, ALTE, 2070
342, VELE, 1239
342, ALTF, 5387
392, ALTE, 2401
392, VELE, 1427
392, ALTF, 6387
442, ALTE, 2774
442, VELE, 1637
442, ALTF, 7049
492, ALTE, 3175
492, VELE, 1859
492, ALTF, 7684
542, ALTE, 3602
542, VELE, 2093
542, ALTF, 8302
592, ALTE, 4041
592, VELE, 2325
592, ALTF, 8567
642, ALTE, 4473
642, VELE, 2546
642, ALTF, 8761
692, ALTE, 4906
692, VELE, 2759
692, ALTF, 9114
742, ALTE, 5342
742, VELE, 2966
742, ALTF, 9423
792, ALTE, 5790
792, VELE, 3176
792, ALTF, 9998
842, ALTE, 6266
842, VELE, 3397
842, ALTF, 10802
892, ALTE, 6771
892, VELE, 3631
892, ALTF, 11404
942, ALTE, 7264
942, VELE, 3848
942, ALTF, 11326
992, ALTE, 7723
992, VELE, 4034
992, ALTF, 11176
1042, ALTE, 8149
1042, VELE, 4190
1042, ALTF, 11026
1092, ALTE, 8543
1092, VELE, 4318
1092, ALTF, 10876
1142, ALTE, 8905
1142, VELE, 4420
1142, ALTF, 10726
1192, ALTE, 9237
1192, VELE, 4497
1192, ALTF, 10576
1242, ALTE, 9539
1242, VELE, 4551
1242, ALTF, 10426
1292, ALTE, 9812
1292, VELE, 4583
1292, ALTF, 10276
1342, ALTE, 10059
1342, VELE, 4595
1342, ALTF, 10236
1392, ALTE, 10311
1392, VELE, 4610
1392, ALTF, 10723
1442, ALTE, 10578
1442, VELE, 4636
1442, ALTF, 11174
1492, ALTE, 10860
1492, VELE, 4671
1492, ALTF, 11625
1542, ALTE, 11153
1542, VELE, 4713
1542, ALTF, 12006
1592, ALTE, 11456
1592, VELE, 4760
1592, ALTF, 12458
1642, ALTE, 11768
1642, VELE, 4811
1642, ALTF, 12812
